object_name,package_name,url_browser,description,id_package,id_dataset,url_download
whse_land_use_planning.rmp_plan_legal_line_svw,legal-planning-objectives-current-line,https://catalogue.data.gov.bc.ca/dataset/c887b499-a985-4af3-90cb-887a0e215e28,"Spatially identified and mapped legal objective lines as determined from strategic land and resource planning processes in the province of British Columbia.  Legal objectives can encompass objectives developed and grandfathered under now repealed Forest Practices Code legislation (including Higher level Plans), as well as new and existing objectives developed through the Land Use Objectives Regulation and the Land Act to support FRPA implementation.  This layer contains line features. The Strategic Land and Resource Planning documents can be accessed [here](https://www2.gov.bc.ca/gov/content/industry/crown-land-water/land-use-planning/regions).

Current SLRP legal objective lines are included in this layer. For all SLRP legal objective points (retired and current), please see the layer [Legal Planning Objectives - All - Line](https://catalogue.data.gov.bc.ca/dataset/b648ac2d-6a9a-426c-9dcd-39ec188d7f36).

",c887b499-a985-4af3-90cb-887a0e215e28,62797341-8786-4904-9fe5-04b5e589911a,https://openmaps.gov.bc.ca/geo/pub/WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_LINE_SVW/ows?service=WMS&request=GetCapabilities
whse_mineral_tenure.og_road_area_permit_sp,oil-and-gas-commission-road-right-of-way-permits,https://catalogue.data.gov.bc.ca/dataset/b34bfb86-e08e-441a-a288-4301d2996f6c,"Land authorizations representing the road right of way for road activities. The spatial data includes polygon data for approved and post-construction road rights of way collected on or after October 30, 2006. This dataset is updated nightly.",b34bfb86-e08e-441a-a288-4301d2996f6c,12b59de7-c447-4284-bf1d-7addab680bc1,https://openmaps.gov.bc.ca/geo/pub/WHSE_MINERAL_TENURE.OG_ROAD_AREA_PERMIT_SP/ows?service=WMS&request=GetCapabilities
whse_mineral_tenure.og_water_source_appl_sp,oil-and-gas-commission-short-term-water-use-applications,https://catalogue.data.gov.bc.ca/dataset/f7df4a38-0235-4164-aae8-6fd0309f8adb,Point locations indicating proposed applications for short term water use for oil and gas development.  This dataset contains spatial data for proposed applications collected through the BC Energy Regulator's Application Management System (AMS). This dataset is updated nightly.,f7df4a38-0235-4164-aae8-6fd0309f8adb,aada9a76-ba18-400b-a8e7-00db4a17de62,https://openmaps.gov.bc.ca/geo/pub/WHSE_MINERAL_TENURE.OG_WATER_SOURCE_APPL_SP/ows?service=WMS&request=GetCapabilities
whse_mineral_tenure.og_well_facility_permit_sp,oil-and-gas-commission-well-facility-area-permits,https://catalogue.data.gov.bc.ca/dataset/2f2ecb55-2cc6-453f-8d2e-a16124aee65e,"Land authorizations for areas on which well or facility activities can occur.  This dataset contains spatial data collected on or after October 30, 2006.  The spatial data includes approved and post-construction land areas associated with well or facility activities. This dataset is updated nightly.",2f2ecb55-2cc6-453f-8d2e-a16124aee65e,e4dd9907-0731-44fb-b458-579d2d36810d,https://openmaps.gov.bc.ca/geo/pub/WHSE_MINERAL_TENURE.OG_WELL_FACILITY_PERMIT_SP/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_land_districts_svw,tantalis-land-districts,https://catalogue.data.gov.bc.ca/dataset/fe1023fc-5c8d-49ec-8f62-86fd16649ba2,TA_LAND_DISTRICTS_SVW contains the spatial representation (polygon) of the current extent of the administrative areas defined under Section 2 of the Land Act as Land Districts. The was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system. These administrative regions are defined under Section 2 of the Land Act for the purpose of managing and uniquely identifying cadastral survey parcels,fe1023fc-5c8d-49ec-8f62-86fd16649ba2,0d3d520c-04a9-4123-9a71-30421c8009ab,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_LAND_DISTRICTS_SVW/ows?service=WMS&request=GetCapabilities
whse_waste.site_env_rmdtn_sites_svw,environmental-remediation-sites,https://catalogue.data.gov.bc.ca/dataset/63804e64-a4f3-4bc7-b1e3-5f736bbc3967,"A layer containing data on known and potentially contaminated properties in British Columbia. A site is contaminated if its land, water and/or sediment are unsuitable for particular uses from waste that  exceeds environmental quality standards.

Contact [BC OnLine](https://www.bconline.gov.bc.ca/) for further details for each site.",63804e64-a4f3-4bc7-b1e3-5f736bbc3967,c531dc93-9d8e-4f54-a8b3-7486cdeda4c5,https://openmaps.gov.bc.ca/geo/pub/WHSE_WASTE.SITE_ENV_RMDTN_SITES_SVW/ows?service=WMS&request=GetCapabilities
whse_water_management.gw_water_wells_lithology_sp,lithology-of-ground-water-wells,https://catalogue.data.gov.bc.ca/dataset/dd462162-f358-463d-ab25-9115fb30006b,"Point features showing the locations of groundwater wells which have lithology recorded.  
Each record in the dataset represents a lithology interval. Because each water well often has multiple lithology layers recorded, there will often be multiple points overlapped at each well location. 
  
For the locations of all water wells in BC (without lithology), please see:  
https://catalogue.data.gov.bc.ca/dataset/e4731a85-ffca-4112-8caf-cb0a96905778  
  
> NOTE: When choosing to download this GIS dataset below, there can be errors when trying to download the entire province. The large file size is a problem for the default file format (shapefile).

> If you need to download the entire province, please choose a different file format (e.g. ESRI File Geodatabase).

> If you need to download in shapefile format, please use an area of interest (AOI).
",dd462162-f358-463d-ab25-9115fb30006b,03bf64ff-5112-48a7-b8c6-bbc0cbd0d6c1,https://openmaps.gov.bc.ca/geo/pub/WHSE_WATER_MANAGEMENT.GW_WATER_WELLS_LITHOLOGY_SP/ows?service=WMS&request=GetCapabilities
whse_water_management.wuc_water_user_communities_svw,water-users-communities,https://catalogue.data.gov.bc.ca/dataset/ce204d38-11c0-40d5-ab6b-c52a294aa8da,General locations of active Water Users' Communities in BC. A Water Users’ Community is a public corporate body incorporated under Section 51 of the Water Act and to which the Comptroller of Water Rights has issued a Certificate of Incorporation. ,ce204d38-11c0-40d5-ab6b-c52a294aa8da,7b000ce5-2b28-4ba0-86ab-d53b841d07df,https://openmaps.gov.bc.ca/geo/pub/WHSE_WATER_MANAGEMENT.WUC_WATER_USER_COMMUNITIES_SVW/ows?service=WMS&request=GetCapabilities
whse_admin_boundaries.fadm_tfl,fadm-tree-farm-license-agreement-boundary-tfl-,https://catalogue.data.gov.bc.ca/dataset/7f07f3b5-0bd6-434c-9d44-dfe7a214ffc0,"This view reflects what is in the Tree Farm License Agreement.  Once an agreement is signed additions and deletions and changes occur that are not reflected in this layer.  If you would like to see the current boundary please use the FADM - Tree Farm License Current View (TFL).

Further information on Tree Farm Licenses please visit this website: 
https://www2.gov.bc.ca/gov/content?id=A93E6DFD8C164AD19CD17880450289A3

The spatial representation for a Tree Farm License, which is an agreement entered into under Part 3, Division 5 of the Forest Act which grants the rights to harvest timber. A tree farm licence has a term of 25 years and requires a management plan providing for the establishment, management, and harvesting of timber in a described area (Crown and private land) on a sustained or perpetual yield basis",7f07f3b5-0bd6-434c-9d44-dfe7a214ffc0,7434a291-3f6a-4447-b7a7-63d151c88144,https://openmaps.gov.bc.ca/geo/pub/WHSE_ADMIN_BOUNDARIES.FADM_TFL/ows?service=WMS&request=GetCapabilities
whse_fish.acat_report_point_pub_svw,ecological-catalogue-formerly-aquacat,https://catalogue.data.gov.bc.ca/dataset/7904d8e9-64b4-4acc-89f1-70a42bc1da6e,"A compendium of reports that provide information about aquatic and terrestrial animals and plants, soils, surface water, groundwater and their accompanying data files and maps",7904d8e9-64b4-4acc-89f1-70a42bc1da6e,0375e927-aa5f-48ab-b558-2c23c83ae4bb,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.ACAT_REPORT_POINT_PUB_SVW/ows?service=WMS&request=GetCapabilities
whse_fish.fiss_obstacles_pnt_sp,provincial-obstacles-to-fish-passage,https://catalogue.data.gov.bc.ca/dataset/35bbac7c-2e2f-4587-9108-f4aa1e862809,"The Provincial Obstacles to Fish Passage theme presents records of all known obstacles to fish passage from several fisheries datasets. Records from the following datasets have been included: The Fisheries Information Summary System (FISS); the Fish Habitat Inventory and Information Program (FHIIP); the Field Data Information System (FDIS) and the Resource Analysis Branch (RAB) inventory studies. The main intent of this layer is to have a single layer of all known obstacles to fish passage. It is important to note that not all waterbodies have been studied and, not all lengths of many waterbodies have been studied so there are a very high number of obstacles in the real world that are not recorded in this dataset. This layer simply reports the obstacles to fish that are known.  It is also very important to note that we are acknowledging these features as obstacles to fish passage versus barriers to fish passage.  This is because an obstacle may be a barrier at one time of year but not at other times depending on the volume of water present and also, what is a barrier to one species of fish is not necessarily a barrier to another species.",35bbac7c-2e2f-4587-9108-f4aa1e862809,894fe0da-8bdf-4c30-b08e-471e33163b13,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.FISS_OBSTACLES_PNT_SP/ows?service=WMS&request=GetCapabilities
whse_forest_vegetation.rec_vims_vli_svw,visual-landscape-inventory-visual-sensitivity-units-view,https://catalogue.data.gov.bc.ca/dataset/2da43b9a-0795-42f1-b403-6f1a68f7b99a,"The spatial view REC VIMS VLI SVW is a multi part polygon identifying A Visual Sensitivity Unit (VSU), which is a distinct topographical unit as viewed from one or more viewpoints and is delineated based on the homogeneity of the landform and of biophysical elements. VIMS VLI was a layer created for Mapview. Original data comes from and is downloadable via [WHSE_FOREST_VEGETATION.REC_VISUAL_LANDSCAPE_INVENTORY](https://catalogue.data.gov.bc.ca/dataset/4e941067-20ec-4b5d-bca3-8831c9b2e4db)",2da43b9a-0795-42f1-b403-6f1a68f7b99a,fa3c4e2d-b9f0-4b1c-a38e-e13d44e7d7d5,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_VEGETATION.REC_VIMS_VLI_SVW/ows?service=WMS&request=GetCapabilities
whse_forest_vegetation.veg_consolidated_cut_blocks_sp,harvested-areas-of-bc-consolidated-cutblocks-,https://catalogue.data.gov.bc.ca/dataset/b1b647a6-f271-42e0-9cd0-89ec24bce9f7,"The consolidated cut blocks dataset spatially combines forest harvesting data from multiple datasets (i.e . Reporting Silviculture Updates and Land Status Tracking System (RESULTS), Forest Cover Inventory (VRI) and Landsat satellite change detection).  The dataset depicts historical cut blocks on all land owner types that are recorded in Ministry of Forest's system and includes an estimate of the year of harvest.",b1b647a6-f271-42e0-9cd0-89ec24bce9f7,8d94426b-29e6-4634-988a-8de5c6a09e88,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_VEGETATION.VEG_CONSOLIDATED_CUT_BLOCKS_SP/ows?service=WMS&request=GetCapabilities
whse_land_and_natural_resource.prot_bans_and_prohibitions_sp,bc-wildfire-bans-and-prohibitions,https://catalogue.data.gov.bc.ca/dataset/2ff29516-c3c3-4dbc-844c-eca1a693b22d,"BC Wildfire Bans and Prohibitions are areas covered under Sec 10, 11, 12 of the Wildfire Act.  This dataset displays areas  implemented as local fire hazards or dangers, weather conditions and fire activity demand.  Fire bans and restrictions apply to all public and private land, unless otherwise specified - for example, in a local government bylaw. Please check with local government authorities for any other restrictions before lighting any fire.",2ff29516-c3c3-4dbc-844c-eca1a693b22d,20c98969-4ba1-41b1-92df-bb7eb1fe1fc8,https://openmaps.gov.bc.ca/geo/pub/WHSE_LAND_AND_NATURAL_RESOURCE.PROT_BANS_AND_PROHIBITIONS_SP/ows?service=WMS&request=GetCapabilities
whse_land_use_planning.rmp_plan_legal_point_svw,legal-planning-objectives-current-point,https://catalogue.data.gov.bc.ca/dataset/b7ca71fa-6265-46e7-a73c-344ded9212b0,"Spatially identified and mapped legal objective points as determined from Strategic Land and Resource Planning (SLRP) processes in the province of British Columbia.  Legal objectives can encompass objectives developed and grandfathered under now repealed Forest Practices Code legislation (including Higher level Plans), as well as new and existing objectives developed through the Land Use Objectives Regulation and the Land Act to support FRPA implementation.  This layer contains point features. The Strategic Land and Resource Planning documents can be accessed [here](https://www2.gov.bc.ca/gov/content/industry/crown-land-water/land-use-planning/regions).

Current SLRP legal objective points are included in this layer. For all SLRP legal objective points (retired and current), please see the layer [Legal Planning Objectives - All - Point](https://catalogue.data.gov.bc.ca/dataset/8eb6e90e-8241-4215-8bb3-a204333a8625).",b7ca71fa-6265-46e7-a73c-344ded9212b0,db1e56bd-1ba3-4a87-adeb-4fe36a2bc719,https://openmaps.gov.bc.ca/geo/pub/WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POINT_SVW/ows?service=WMS&request=GetCapabilities
whse_land_use_planning.rmp_plan_non_legal_line_svw,non-legal-planning-features-current-line,https://catalogue.data.gov.bc.ca/dataset/9f6fcf56-e491-4972-961a-e34a480e78b2,"A spatially identified line on land and/or water that has been mapped for specific land and/or resource uses as determined through a strategic land and resource planning process. This layer represents non-legalized planning lines only, thus the direction given within the planning designation is policy only and is not legally enforceable.  This layer contains line geometries.

Current SLRP non-legal line features are included in this layer. For all SLRP non-legal line features (retired and current), please see the layer [Non Legal Planning Features - All - Line](https://catalogue.data.gov.bc.ca/dataset/f72a0619-0a7a-4ade-bf1a-946339aedfd1).",9f6fcf56-e491-4972-961a-e34a480e78b2,d82a1c53-5427-4084-9e61-0a5ec23783df,https://openmaps.gov.bc.ca/geo/pub/WHSE_LAND_USE_PLANNING.RMP_PLAN_NON_LEGAL_LINE_SVW/ows?service=WMS&request=GetCapabilities
whse_mineral_tenure.minfil_mineral_file,minfile-mineral-occurrence-database,https://catalogue.data.gov.bc.ca/dataset/92206d94-bc64-4111-a295-cd14eb5a501c,"The mineral occurrence feature depicts a body of rock containing, or thought to contain, ore minerals or potential ore minerals. A geographic location depicts the most significant physical reference point to the mineralization.  MINFILE contains geological, location and economic information on over 16,000 metallic, industrial mineral and coal occurrences in British Columbia. The database is used by government, industry and academia for resource management, land-use planning, exploration and research. MINFILE data can be viewed and queried on MapPlace.",92206d94-bc64-4111-a295-cd14eb5a501c,7e114289-b8fa-42c0-99eb-c32e6b426435,https://openmaps.gov.bc.ca/geo/pub/WHSE_MINERAL_TENURE.MINFIL_MINERAL_FILE/ows?service=WMS&request=GetCapabilities
whse_mineral_tenure.og_facility_locatns_permit_sp,oil-and-gas-commission-facility-location-permits,https://catalogue.data.gov.bc.ca/dataset/11255ce8-83d8-4522-b230-203f6782c1d6,"Facilities are an oil and gas activity, defined in the Energy Resources Activities Act as a system of vessels, piping, valves, tanks and other equipment used to gather, process, measure, store or dispose of petroleum, natural gas, water or a substance referred to in paragraph (d) or (e) of the definition of pipeline.  This dataset contains point features collected on or after July 11, 2016 for approved facility locations. This dataset is updated nightly.",11255ce8-83d8-4522-b230-203f6782c1d6,cbb6d8a1-729e-4e8f-a253-00b9a6d06a20,https://openmaps.gov.bc.ca/geo/pub/WHSE_MINERAL_TENURE.OG_FACILITY_LOCATNS_PERMIT_SP/ows?service=WMS&request=GetCapabilities
whse_mineral_tenure.ptsa_requested_parcels_svw,parcel-request-polygons,https://catalogue.data.gov.bc.ca/dataset/7fd79155-2f43-44c0-b133-2fbe921aa047,Parcels requested for future disposition,7fd79155-2f43-44c0-b133-2fbe921aa047,69d6ebfd-1146-49d4-91d9-a27a43c62b5e,https://openmaps.gov.bc.ca/geo/pub/WHSE_MINERAL_TENURE.PTSA_REQUESTED_PARCELS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_land_claim_stlmnt_areas_svw,tantalis-land-claim-settlement-areas,https://catalogue.data.gov.bc.ca/dataset/68641ed3-d3af-4fae-989a-6b3f68711146,"TA_LAND_CLAIM_STLMNT_AREAS_SVW contains the spatial representation (polygon) of the current extent of an area of land that is governed and owned by the First Nation in fee simple pursuant to the provisions of the applicable treaty. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system. Treaty Settlement Lands are not subject to any condition, proviso, restriction, exception or reservation set out in the Land Act, or any comparable limitation under Federal or Provincial law.",68641ed3-d3af-4fae-989a-6b3f68711146,bc5b8eb1-4701-4e58-b7ef-43c086eb4945,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_LAND_CLAIM_STLMNT_AREAS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_land_mgmt_regions_svw,tantalis-land-management-regions,https://catalogue.data.gov.bc.ca/dataset/12d8a282-df60-4fa1-9415-4b9af2fddf2f,TA_LAND_MGMT_REGIONS_SVW contains the spatial representation (polygon) of the current extent of the administrative areas defined under the Land Act for the purposes of administering land transactions. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system.,12d8a282-df60-4fa1-9415-4b9af2fddf2f,2134875a-eae6-4ee1-9dde-0695cb889011,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_LAND_MGMT_REGIONS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_land_title_districts_svw,tantalis-land-title-districts,https://catalogue.data.gov.bc.ca/dataset/27a71371-b079-4af4-b305-7ec6d06459ce,TA_LAND_TITLE_DISTRICTS_SVW contains the spatial representation (polygon) of the current extent of the administrative areas defined under Section 5 of the Land Title Act. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system. Land title records are organized and managed by Land Title Districts. A Land Title Office and its Registrar have authority to manage one or more Land Title Districts.,27a71371-b079-4af4-b305-7ec6d06459ce,ecd98aab-7df5-449b-ac76-4800c11efd33,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_LAND_TITLE_DISTRICTS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.temp_transport,surveyed-railways-highways-and-roads,https://catalogue.data.gov.bc.ca/dataset/c0183ff7-895a-43a3-bc4c-cf02d3db6ebc,"This geographic dataset is made up of polygons which depict the surveyed boundaries of Railways, Highways and Roads over Crown land. The shapes are constructed from official survey plans and are maintained in the Crown Land Registry (Tantalis). Attributes include the survey plan number.",c0183ff7-895a-43a3-bc4c-cf02d3db6ebc,ab515c3c-9426-4e62-8353-cf2cb32eb45c,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TEMP_TRANSPORT/ows?service=WMS&request=GetCapabilities
whse_water_management.gw_well_capture_zones_sp,ground-water-well-capture-zones,https://catalogue.data.gov.bc.ca/dataset/9f193dd8-55fe-47ab-8345-8c5d02dd223a,Polygon features representing the capture zones for drinking water supply wells in BC. ,9f193dd8-55fe-47ab-8345-8c5d02dd223a,1fa17f1c-4f13-43c8-ada5-20a21e98d7dd,https://openmaps.gov.bc.ca/geo/pub/WHSE_WATER_MANAGEMENT.GW_WELL_CAPTURE_ZONES_SP/ows?service=WMS&request=GetCapabilities
whse_water_management.ssl_snow_asws_stns_sp,automated-snow-weather-station-locations,https://catalogue.data.gov.bc.ca/dataset/ebe546aa-ac34-491c-a828-fdc87fb70610,"Locations of automated snow weather stations, active and inactive. Automated snow weather stations are components of the BC snow survey network.  ",ebe546aa-ac34-491c-a828-fdc87fb70610,d54a8a1c-a479-4637-a1d2-60663fd446f5,https://openmaps.gov.bc.ca/geo/pub/WHSE_WATER_MANAGEMENT.SSL_SNOW_ASWS_STNS_SP/ows?service=WMS&request=GetCapabilities
whse_water_management.wls_water_notation_streams_sp,streams-with-water-allocation-notations,https://catalogue.data.gov.bc.ca/dataset/687fdbd1-771d-4624-a28c-7c1ff07309fa,This dataset displays streams that have water allocation notations on them. This dataset is updated daily. ,687fdbd1-771d-4624-a28c-7c1ff07309fa,326ad831-a830-456c-9c19-ca0f1904b02e,https://openmaps.gov.bc.ca/geo/pub/WHSE_WATER_MANAGEMENT.WLS_WATER_NOTATION_STREAMS_SP/ows?service=WMS&request=GetCapabilities
whse_water_management.wls_water_notation_sv,water-allocation-notation-points,https://catalogue.data.gov.bc.ca/dataset/ca0f10d2-2e3d-4c03-af01-d6072d3aa2c8,"Province-wide spatial view showing the most downstream point of a stream, as determined by Water Allocation staff, to have a current or potential water quantity/quality concern. Note: This layer has replaced the older Water Allocation Restrictions view spatial layer. This data is updated nightly.",ca0f10d2-2e3d-4c03-af01-d6072d3aa2c8,7df5e444-a626-4257-b466-6aeec898572c,https://openmaps.gov.bc.ca/geo/pub/WHSE_WATER_MANAGEMENT.WLS_WATER_NOTATION_SV/ows?service=WMS&request=GetCapabilities
whse_fish.pscis_design_proposal_svw,pscis-design-proposal,https://catalogue.data.gov.bc.ca/dataset/0c9df95f-a2da-4a7d-b9cb-fea3e8926661,"Points where a fish passage assessment has been performed on a stream crossing structure and found to be a failure.  Design points have been identified as a priority for remediation based on a variety of potential criteria: quality of habitat upstream, quantity of fish habitat upstream, number and importance of species present, operational plans for the road cost of the proposed remediation, etc. They are sites where the amount of habitat to be gained by remediation has been confirmed and where a design has actually been completed.",0c9df95f-a2da-4a7d-b9cb-fea3e8926661,d259c8c8-1c0c-4006-81ae-bb54e3236062,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.PSCIS_DESIGN_PROPOSAL_SVW/ows?service=WMS&request=GetCapabilities
whse_fish.pscis_habitat_confirmation_svw,pscis-habitat-confirmations,https://catalogue.data.gov.bc.ca/dataset/572595ab-0a25-452a-a857-1b6bb9c30495,"Points where an evaluation of the fish habitat up and downstream of a road crossing have been carried out.  Phase 2 of 4 in the Fish Passage Workflow, Habitat Confirmations are done at sites where the crossing structure is known to be a failure.  The Habitat Confirmation is performed to ensure that the site in question is a good candidate for moving on to the Design (Phase 3) and Remediation (Phase 4) stages of the workflow.  The Habitat Confirmation confirms the crossing is a barrier, places the crossing in context with respect to other roads and crossings in the watershed and also quantifies and qualifies how much habitat will be gained if the site is fixed.  
",572595ab-0a25-452a-a857-1b6bb9c30495,3e7316d4-464f-4616-971d-7a6e9d167107,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.PSCIS_HABITAT_CONFIRMATION_SVW/ows?service=WMS&request=GetCapabilities
whse_forest_tenure.fsp_fdu_poly_spg,forest-development-units,https://catalogue.data.gov.bc.ca/dataset/25bbc9a6-f0eb-47dd-849c-3161a6512468,The spatial representation of a Forest Stewardship Plan and Forest Development Units. A Forest Stewardship Plan is a plan submitted by a forest industry licensee stating how the BC Government's objectives for managing the province's forest resources will be met. It identifies the plan-holder's obligations for a five-year period. The Forest Development Unit is the spatially-mapped area of land within a Forest Stewardship Plan where specific forest practices obligations apply to specific forest licensees.,25bbc9a6-f0eb-47dd-849c-3161a6512468,030dc223-b3e2-435d-864c-98d5ec4bd2c7,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_TENURE.FSP_FDU_POLY_SPG/ows?service=WMS&request=GetCapabilities
whse_forest_vegetation.rec_opportunity_spectrum_svw,recreational-opportunity-spectrum-inventory-spatial-view,https://catalogue.data.gov.bc.ca/dataset/9bafdaff-1424-4dfb-bd7d-17f5e7824ada,"The ROS Inventory characterizes and represents recreation opportunities as mixes or combinations of settings and probable experience opportunities arranged along a continuum or spectrum of ROS classes. The spectrum is set out in terms of seven ROS classes as follows: Primitive (P), Semi-primitive Non-motorized (SPNM), Semi-primitive Motorized (SPM), Roaded Natural (RN), Roaded Modified (RM), Rural (R), Urban (U)",9bafdaff-1424-4dfb-bd7d-17f5e7824ada,2f4d2e23-caab-4801-b50b-b5ff64780aa4,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_VEGETATION.REC_OPPORTUNITY_SPECTRUM_SVW/ows?service=WMS&request=GetCapabilities
whse_wildlife_management.wcp_wha_proposed_sp,wildlife-habitat-areas-proposed,https://catalogue.data.gov.bc.ca/dataset/c2fc0a99-075e-4fdc-b85d-a8a0d88af71c,Wildlife habitat areas (WHAs) are mapped areas that are necessary to meet the habitat requirements of an Identified Wildlife element. WHAs designate critical habitats in which activities are managed to limit their impact on the Identified Wildlife element for which the area was established. The purpose of WHAs is to conserve those habitats considered most limiting to a given Identified Wildlife element. This dataset contains proposed WHAs for the entire province except for the Omenica Region as there are none in the consultation phase at this time,c2fc0a99-075e-4fdc-b85d-a8a0d88af71c,f1b74bc1-df2d-4673-8830-afebfb78ebc6,https://openmaps.gov.bc.ca/geo/pub/WHSE_WILDLIFE_MANAGEMENT.WCP_WHA_PROPOSED_SP/ows?service=WMS&request=GetCapabilities
whse_forest_vegetation.rec_viewing_direction_lin,visual-landscape-inventory-viewing-direction-lines,https://catalogue.data.gov.bc.ca/dataset/297f2c7f-bc60-420f-8cc1-09c6ad92e719,"A direction one looks from a viewpoint towards a visual landscape. When a view is panoramic, it is to the middle of that panoramic view",297f2c7f-bc60-420f-8cc1-09c6ad92e719,d6dd3169-3273-4898-b513-27728e40afcb,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_VEGETATION.REC_VIEWING_DIRECTION_LIN/ows?service=WMS&request=GetCapabilities
whse_imagery_and_base_maps.mot_signs_sp,ministry-of-transportation-mot-sign,https://catalogue.data.gov.bc.ca/dataset/33c310e8-82db-495f-81ed-6885a9ad3263,"A Sign is a lettered board, message or other display which includes all regulatory, warning, guide, informational, advisory, construction and maintenance and route markers, but excluding electronically controlled messages/displays.  It is a Point feature",33c310e8-82db-495f-81ed-6885a9ad3263,5df61d10-7b26-49c1-abf3-c606af8c14d4,https://openmaps.gov.bc.ca/geo/pub/WHSE_IMAGERY_AND_BASE_MAPS.MOT_SIGNS_SP/ows?service=WMS&request=GetCapabilities
whse_wildlife_inventory.ama_snowmobile_mgmt_areas_sp,snowmobile-management-areas-access-management-areas-ama,https://catalogue.data.gov.bc.ca/dataset/e6e31638-afe9-4355-aa4d-9853e53de55c,Areas where access is controlled as to when and under what conditions they may be used by snowmobiles for recreation. These areas may be open with conditions or closed,e6e31638-afe9-4355-aa4d-9853e53de55c,67407358-186f-43c3-bab3-6cb9a7c20dd6,https://openmaps.gov.bc.ca/geo/pub/WHSE_WILDLIFE_INVENTORY.AMA_SNOWMOBILE_MGMT_AREAS_SP/ows?service=WMS&request=GetCapabilities
whse_land_use_planning.rmp_plan_non_legal_point_svw,non-legal-planning-features-current-point,https://catalogue.data.gov.bc.ca/dataset/168885d9-ed13-4dea-9126-dd11e667c01f,"A spatially identified point on land and/or water that has been mapped for specific land and/or resource uses as determined through a strategic land and resource planning process. This layer represents non-legalized planning lines only, thus the direction given within the planning designation is policy only and is not legally enforceable.  This layer contains point geometries.

Current SLRP non-legal point features are included in this layer. For all SLRP non-legal point features (retired and current), please see the layer [Non Legal Planning Features - All - Point](https://catalogue.data.gov.bc.ca/dataset/5f4afb95-4ecf-4c39-83d5-1e6644df8c95).",168885d9-ed13-4dea-9126-dd11e667c01f,9f4097f3-1958-4547-861b-80971ce5f3dc,https://openmaps.gov.bc.ca/geo/pub/WHSE_LAND_USE_PLANNING.RMP_PLAN_NON_LEGAL_POINT_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_mgmt_areas_spatial_svw,tantalis-management-areas-spatial,https://catalogue.data.gov.bc.ca/dataset/d4dfd60d-cd74-4581-a82b-75d8c46a400c,TA_MGMT_AREAS_SPATIAL_SVW contains the spatial representation (polygon) of the management area boundaries established pursuant to section 3 of the Muskwa-Kechika Management Area Act. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system,d4dfd60d-cd74-4581-a82b-75d8c46a400c,dde1c444-c3d8-4571-a901-02d301a0e03c,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_MGMT_AREAS_SPATIAL_SVW/ows?service=WMS&request=GetCapabilities
whse_mineral_tenure.og_regional_fields_sp,ogc-oil-and-gas-regional-fields,https://catalogue.data.gov.bc.ca/dataset/9010f337-3a82-4ca0-b2ac-44d72e13ac48,"Geographic outline of large, unconventional natural gas accumulations that are specific to a geological formation. Regional fields cover an expansive area which is too large to provide a meaningful geographic reference and consequently are not to be used for well naming purposes.",9010f337-3a82-4ca0-b2ac-44d72e13ac48,7a154aa3-2cae-456e-8b2f-0a6301be2b36,https://openmaps.gov.bc.ca/geo/pub/WHSE_MINERAL_TENURE.OG_REGIONAL_FIELDS_SP/ows?service=WMS&request=GetCapabilities
